iter	RMSE
516	86953.90928
517	86896.3963
518	86843.98168
519	86808.59488
520	86768.95677
521	86744.92054
522	86669.27875
523	86640.42118
524	86575.46062
525	86542.78993
526	86478.52091
527	86434.62893
528	86386.76759
529	86346.40749
530	86305.09815
531	86271.76424
532	86227.92659
533	86190.05725
534	86154.75753
535	86115.14692
536	86035.78738
537	86006.82701
538	85945.58871
539	85914.17139
540	85836.2238
541	85793.59036
542	85742.51969
543	85708.56763
544	85649.38061
545	85633.59124
546	85607.9797
547	85545.5717
548	85485.91466
549	85439.41744
550	85381.62844
551	85336.35793
552	85288.56324
553	85237.88306
554	85177.92619
555	85108.96319
556	85071.8913
557	85019.77205
558	84983.83174
559	84945.8172
560	84899.99881
561	84834.00907
562	84742.18858
563	84678.76072
564	84625.58412
565	84579.06141
566	84522.51337
567	84498.38296
568	84471.84152
569	84394.98993
570	84376.45019
571	84331.18798
572	84274.74517
573	84248.32131
574	84209.20232
575	84182.85514
576	84134.36588
577	84094.73231
578	84032.32291
579	83983.90298
580	83912.02922
581	83886.68977
582	83847.48438
583	83812.95853
584	83766.37259
585	83735.47263
586	83707.6437
587	83647.24507
588	83619.65577
589	83584.7169
590	83526.36342
591	83489.67085
592	83427.89161
593	83376.82889
594	83315.17365
595	83290.48539
596	83239.81192
597	83197.32524
598	83154.51331
599	83122.34806
600	83068.50478
601	83023.38294
602	82991.82695
603	82925.73857
604	82903.33891
605	82866.19105
606	82847.37488
607	82792.38255
608	82739.81567
609	82725.52086
610	82693.44873
611	82654.02893
612	82624.74523
613	82526.01743
614	82486.34042
615	82458.75586
616	82386.2752
617	82336.98565
618	82271.40315
619	82202.97294
620	82142.83639
621	82087.41827
622	82027.53625
623	82002.19872
624	81972.13774
625	81957.51059
626	81896.75206
627	81858.29612
628	81827.56215
629	81762.86593
630	81730.49928
631	81691.91273
632	81668.6082
633	81634.33426
634	81609.05057
635	81607.35367
636	81574.00012
637	81551.38458
638	81512.64753
639	81466.18474
640	81449.89413
641	81435.35625
642	81404.07945
643	81364.61428
644	81342.1134
645	81293.54349
646	81236.40734
647	81209.01595
648	81177.66392
649	81145.54685
650	81111.30852
651	81082.32447
652	81055.03107
653	81021.40757
654	80981.11598
655	80943.39093
656	80921.75576
657	80870.76029
658	80847.96316
659	80816.04868
660	80757.19691
661	80723.46891
662	80665.98044
663	80647.88108
664	80622.28189
665	80555.59733
666	80539.9235
667	80499.97445
668	80458.09035
669	80429.39406
670	80393.15443
671	80351.6905
672	80313.49843
673	80273.44484
674	80240.19174
675	80221.57671
676	80168.83326
677	80121.14349
678	80085.08716
679	80044.1681
680	80033.20247
681	79996.49671
682	79947.87956
683	79933.34314
684	79872.40436
685	79833.68989
686	79812.09681
687	79787.47082
688	79733.46843
689	79707.49895
690	79687.45009
691	79671.18042
692	79645.04259
693	79606.632
694	79573.80651
695	79519.69194
696	79480.61817
697	79443.14937
698	79403.7228
699	79374.04309
700	79345.83807
701	79317.77785
702	79296.8796
703	79260.99081
704	79238.21027
705	79237.65067
706	79195.51926
707	79165.60278
708	79138.78831
709	79105.42039
710	79080.86679
711	79040.7095
712	79003.25546
713	78969.71009
714	78933.88992
715	78892.29263
716	78857.33792
717	78829.17449
718	78762.03286
719	78751.87505
720	78730.89163
721	78693.57973
722	78665.08408
723	78614.78783
724	78581.45832
725	78540.91246
726	78507.67035
727	78459.12579
728	78424.58129
729	78394.8524
730	78340.90796
731	78311.2936
732	78279.77204
733	78255.82012
734	78239.19093
735	78225.0507
736	78224.45439
737	78203.81369
738	78202.7567
739	78182.46369
740	78137.51574
741	78136.50646
